iter	Passed	Remaining
0	137	137138
1	138	69349
2	140	46693
3	141	35320
4	143	28484
5	145	24052
6	146	20756
7	147	18317
8	149	16424
9	150	14905
10	151	13662
11	153	12649
12	155	11772
13	156	11026
14	157	10370
15	160	9857
16	161	9358
17	163	8916
18	165	8523
19	166	8176
20	168	7864
21	170	7566
22	172	7306
23	173	7058
24	174	6823
25	176	6607
26	177	6406
27	179	6219
28	180	6045
29	182	5895
30	183	5745
31	185	5605
32	186	5475
33	188	5350
34	190	5253
35	191	5133
36	193	5028
37	194	4931
38	197	4863
39	199	4782
40	200	4697
41	202	4620
42	204	4545
43	205	4472
44	207	4403
45	209	4341
46	211	4283
47	213	4224
48	214	4170
49	216	4112
50	218	4060
51	219	4007
52	221	3952
53	222	3902
54	224	3858
55	226	3816
56	227	3771
57	229	3726
58	231	3691
59	233	3650
60	234	3612
61	236	3574
62	238	3541
63	240	3512
64	241	3475
65	242	3438
66	244	3406
67	246	3372
68	247	3339
69	249	3308
70	250	3274
71	251	3245
72	254	3226
73	255	3198
74	257	3171
75	258	3146
76	260	3121
77	261	3095
78	263	3068
79	264	3042
80	265	3016
81	267	2996
82	268	2968
83	270	2948
84	271	2927
85	273	2906
86	274	2884
87	276	2863
88	277	2842
89	279	2822
90	281	2807
91	282	2789
92	284	2772
93	285	2755
94	287	2735
95	288	2716
96	289	2698
97	291	2680
98	292	2662
99	294	2651
100	296	2636
101	297	2622
102	299	2607
103	300	2592
104	302	2576
105	303	2561
106	305	2546
107	307	2537
108	308	2524
109	310	2508
110	311	2496
111	314	2490
112	315	2474
113	316	2461
114	318	2447
115	319	2433
116	320	2418
117	321	2404
118	322	2390
119	324	2376
120	325	2363
121	326	2349
122	327	2338
123	329	2327
124	330	2316
125	332	2303
126	333	2289
127	334	2277
128	335	2267
129	337	2255
130	338	2244
131	339	2234
132	340	2222
133	342	2213
134	343	2204
135	345	2194
136	346	2183
137	347	2172
138	349	2162
139	350	2153
140	351	2143
141	352	2131
142	354	2122
143	355	2114
144	357	2105
145	358	2098
146	360	2090
147	361	2081
148	363	2073
149	364	2065
150	365	2056
151	367	2049
152	368	2041
153	370	2033
154	371	2026
155	373	2021
156	375	2014
157	376	2006
158	378	1999
159	379	1992
160	380	1982
161	382	1976
162	383	1970
163	385	1964
164	387	1958
165	388	1953
166	390	1947
167	392	1941
168	393	1935
169	395	1930
170	397	1926
171	399	1923
172	401	1917
173	403	1913
174	405	1912
175	407	1908
176	409	1904
177	411	1900
178	413	1896
179	415	1891
180	417	1887
181	418	1882
182	421	1880
183	423	1876
184	425	1873
185	427	1868
186	429	1865
187	431	1861
188	433	1858
189	436	1859
190	450	1906
191	452	1902
192	454	1898
193	456	1895
194	458	1891
195	460	1887
196	462	1884
197	464	1882
198	467	1880
199	469	1878
200	471	1874
201	473	1869
202	475	1865
203	477	1862
204	480	1863
205	482	1860
206	484	1857
207	487	1854
208	489	1851
209	492	1851
210	494	1848
211	496	1846
212	498	1842
213	500	1839
214	503	1837
215	505	1835
216	507	1832
217	509	1829
218	512	1826
219	514	1822
220	516	1821
221	519	1819
222	521	1817
223	524	1815
224	526	1814
225	529	1811
226	531	1810
227	534	1809
228	536	1807
229	539	1806
230	542	1805
231	545	1806
232	547	1803
233	550	1800
234	552	1799
235	555	1797
236	558	1796
237	560	1793
238	562	1790
239	564	1788
240	567	1787
241	570	1786
242	572	1783
243	574	1780
244	576	1776
245	579	1774
246	581	1773
247	583	1769
248	585	1766
249	587	1762
250	589	1758
251	590	1754
252	592	1749
253	594	1745
254	596	1742
255	598	1738
256	600	1735
257	601	1731
258	603	1727
259	605	1724
260	607	1720
261	609	1717
